Linux 3.10.0-229.4.2.el7.x86_64 (d01enspbsedb1) 	07/13/16 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:00:01          0      0.29      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.58
07:00:01          1      0.33      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.54
07:10:01        all      0.31      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.57
07:10:01          0      0.28      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.59
07:10:01          1      0.33      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55

07:10:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
07:20:01          0      0.31      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.58
07:20:01          1      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
07:30:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
07:30:01          0      0.34      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.53
07:30:01          1      0.27      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.61
07:40:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
07:40:01          0      0.35      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.52
07:40:01          1      0.26      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.61
07:50:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
07:50:01          0      0.30      0.00      0.10      0.00      0.00      0.00      0.01      0.00      0.00     99.58
07:50:01          1      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
08:00:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
08:00:01          0      0.27      0.00      0.10      0.00      0.00      0.00      0.01      0.00      0.00     99.63
08:00:01          1      0.35      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.51
08:10:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
08:10:01          0      0.33      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.55
08:10:01          1      0.29      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.58
08:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
08:20:01          0      0.32      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.57
08:20:01          1      0.31      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.55
08:30:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
08:30:01          0      0.28      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.60
08:30:01          1      0.34      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.52
08:40:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
08:40:01          0      0.29      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.58
08:40:01          1      0.34      0.00      0.09      0.01      0.00      0.00      0.01      0.00      0.00     99.55
08:50:01        all      0.44      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.41
08:50:01          0      0.47      0.00      0.13      0.01      0.00      0.00      0.01      0.00      0.00     99.39
08:50:01          1      0.42      0.00      0.11      0.03      0.00      0.00      0.01      0.00      0.00     99.44
09:00:01        all      0.31      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.56
09:00:01          0      0.27      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.60
09:00:01          1      0.36      0.00      0.10      0.02      0.00      0.00      0.01      0.00      0.00     99.51
09:10:01        all      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.56
09:10:01          0      0.29      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.57
09:10:01          1      0.32      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.55
09:20:01        all      0.33      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.54
09:20:01          0      0.36      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.51
